ID carte,Nume carte,Nume autor
1,Arta conversatiei,Ileana Vulpescu
2,Notre-Dame de Paris,Victor Hugo
3,Padurea Spanzuratilor,Liviu Rebreanu
4,Amintiri din copilarie,Ion Creanga
5,Balade vesele si triste,George Topirceanu
6,Orizonturi rosii,Ion Mihai Pacepa
7,Istoria literaturii romane de la origini pana in prezent,George Calinescu
8,Scriitori romani din secolul XX,Tudor Vianu
9,Eminseciana,Perpessicius
10,A Farewell to Arms,Ernest Hemingway
11,Hamlet,William Shakespeare
12,The Portrait of a Lady,Henry James
13,Eugenie Grandet,Honore de Balzac
14,Fables,Jean de la Fontaine
15,La Peste,Albert Camus
16,Stupeur et tremblements,Amelie Nothomb
17,Domnita Lacului,Andrzej Sapkowski
